"","Day","Hr","ActFrcst","GenFrac","Date"
"265",47,3,1,0.264626731522965,2017-04-04
"266",48,3,1,0.870508206220039,2017-04-05
"267",49,3,1,0.525866915513885,2017-04-06
"268",50,3,1,0.764339009619862,2017-04-07
"269",51,3,1,0.21108389340663,2017-04-08
"270",52,3,1,0.0763175173548654,2017-04-09
"271",53,3,1,0.175550781144161,2017-04-10
"272",54,3,1,0.996397774342524,2017-04-11
"273",55,3,1,0.96498520102407,2017-04-12
"274",56,3,1,0.999999999866283,2017-04-13
"275",57,3,1,0.999999999866905,2017-04-14
"276",58,3,1,0.55400636342902,2017-04-15
"277",59,3,1,0.167524841932372,2017-04-16
"278",60,3,1,0.998894066078216,2017-04-17
"279",61,3,1,0.922935620764871,2017-04-18
"280",62,3,1,0.790956234748548,2017-04-19
"281",63,3,1,0.764739084130988,2017-04-20
"282",64,3,1,0.872028620777414,2017-04-21
"283",65,3,1,0.725531332546126,2017-04-22
"284",66,3,1,0.339531907988,2017-04-23
"285",67,3,1,0.362545710702138,2017-04-24
"286",68,3,1,0.760028199217493,2017-04-25
"287",69,3,1,0,2017-04-26
"288",70,3,1,0.312552437736005,2017-04-27
"289",71,3,1,0.13951848028497,2017-04-28
"290",72,3,1,0.671577839356094,2017-04-29
"291",73,3,1,0.985946069023609,2017-04-30
"292",74,3,1,0.876478902999736,2017-05-01
"293",75,3,1,0.945156669828042,2017-05-02
"294",76,3,1,0.753552931767799,2017-05-03
"295",77,3,1,0.57521700681095,2017-05-04
"296",78,3,1,0,2017-05-05
"297",79,3,1,0.525509100990642,2017-05-06
"298",80,3,1,0.486353960678034,2017-05-07
"299",81,3,1,0.958401112668439,2017-05-08
"300",82,3,1,0.870273937560313,2017-05-09
"301",83,3,1,0.632400237707122,2017-05-10
"302",84,3,1,0.809283035508203,2017-05-11
"303",85,3,1,0.996937641580918,2017-05-12
"304",86,3,1,0.732744731258614,2017-05-13
"305",87,3,1,0.620333730247802,2017-05-14
"306",88,3,1,0.224246310752909,2017-05-15
"307",89,3,1,0.136391335317381,2017-05-16
"308",90,3,1,0.0627688867737314,2017-05-17
"309",91,3,1,0.414241798283406,2017-05-18
"310",92,3,1,0.95141262616777,2017-05-19
"311",93,3,1,0.28183513928367,2017-05-20
"312",94,3,1,0.0463738362210165,2017-05-21
"313",95,3,1,0.304200446872072,2017-05-22
"314",96,3,1,0.651410015148004,2017-05-23
"315",97,3,1,0.671780284474651,2017-05-24
"316",98,3,1,0.75507265771674,2017-05-25
"317",99,3,1,0.84661073137144,2017-05-26
"318",100,3,1,0.728641505344431,2017-05-27
"319",101,3,1,0.682185475552547,2017-05-28
"320",102,3,1,0.649731591000993,2017-05-29
"321",103,3,1,0.957774587505496,2017-05-30
"322",104,3,1,0.857162955403815,2017-05-31
"323",105,3,1,0.572563271523307,2017-06-01
"324",106,3,1,0.771909405162065,2017-06-02
"325",107,3,1,0.899763289611226,2017-06-03
"326",108,3,1,0.315387134136275,2017-06-04
"327",109,3,1,0.664526329073512,2017-06-05
"328",1,4,1,0.222563472157751,2017-02-17
"329",2,4,1,0.376320854928437,2017-02-18
"330",3,4,1,0.919788215360712,2017-02-19
"331",4,4,1,0.999999999890405,2017-02-20
"332",5,4,1,0.800657801830201,2017-02-21
"333",6,4,1,0,2017-02-22
"334",7,4,1,0.00582667008756146,2017-02-23
"335",8,4,1,0,2017-02-24
"336",9,4,1,0.0609494692951008,2017-02-25
"337",10,4,1,0.353949546798508,2017-02-26
"338",11,4,1,0.694777015022359,2017-02-27
"339",12,4,1,0.912882757290852,2017-02-28
"340",13,4,1,0.846739915190608,2017-03-01
"341",14,4,1,0.11701780054293,2017-03-02
"342",15,4,1,0.709511632416982,2017-03-03
"343",16,4,1,0.488975180877988,2017-03-04
"344",17,4,1,0.978889570458275,2017-03-05
"345",18,4,1,0.0289177199699587,2017-03-06
"346",19,4,1,0.0985699600036358,2017-03-07
"347",20,4,1,0.213267201618028,2017-03-08
"348",21,4,1,0.769303698134838,2017-03-09
"349",22,4,1,0.0012011639472219,2017-03-10
"350",23,4,1,0.99999999987912,2017-03-11
"351",24,4,1,0.263609160852537,2017-03-12
"352",25,4,1,0.288560538194267,2017-03-13
"353",26,4,1,0.184787052910002,2017-03-14
"354",27,4,1,0.82047455894218,2017-03-15
"355",28,4,1,0.946672753497613,2017-03-16
"356",29,4,1,0.661962033436836,2017-03-17
"357",30,4,1,0.392456357685239,2017-03-18
"358",31,4,1,0.999999999874767,2017-03-19
"359",32,4,1,0.520626788735324,2017-03-20
"360",33,4,1,0.0182138826215654,2017-03-21
"361",34,4,1,0.722771188314596,2017-03-22
"362",35,4,1,0.830851813331737,2017-03-23
"363",36,4,1,0.901508458391695,2017-03-24
"364",37,4,1,0.546700298128862,2017-03-25
"365",38,4,1,0.909776522418652,2017-03-26
"366",39,4,1,0.0169096224333339,2017-03-27
"367",40,4,1,0.0205132724142792,2017-03-28
"368",41,4,1,0.111866105551021,2017-03-29
"369",42,4,1,0.432698825089278,2017-03-30
"370",43,4,1,0.721790776771329,2017-03-31
"371",44,4,1,0.703768746698406,2017-04-01
"372",45,4,1,0,2017-04-02
"373",46,4,1,0.999999999837119,2017-04-03
"374",47,4,1,0.155572341967351,2017-04-04
"375",48,4,1,0.851206369710984,2017-04-05
"376",49,4,1,0.497570197785555,2017-04-06
"377",50,4,1,0.614666897808448,2017-04-07
"378",51,4,1,0.271232102841675,2017-04-08
"379",52,4,1,0.077042888455998,2017-04-09
"380",53,4,1,0.0555214312895243,2017-04-10
"381",54,4,1,0.981692594464414,2017-04-11
"382",55,4,1,0.910199540631245,2017-04-12
"383",56,4,1,0.99999999987324,2017-04-13
"384",57,4,1,0.999907827106064,2017-04-14
"385",58,4,1,0.510642014232716,2017-04-15
"386",59,4,1,0.181958073419702,2017-04-16
"387",60,4,1,0.996240245638424,2017-04-17
"388",61,4,1,0.979408796300612,2017-04-18
"389",62,4,1,0.475471944906718,2017-04-19
"390",63,4,1,0.754578631464622,2017-04-20
"391",64,4,1,0.797384195610594,2017-04-21
"392",65,4,1,0.674535182012773,2017-04-22
"393",66,4,1,0.323525892248717,2017-04-23
"394",67,4,1,0.232298400635552,2017-04-24
"395",68,4,1,0.839277575200144,2017-04-25
"396",69,4,1,0.0119218901007913,2017-04-26
"397",70,4,1,0.49796371228804,2017-04-27
"398",71,4,1,0.112222486504305,2017-04-28
"399",72,4,1,0.597055687851535,2017-04-29
"400",73,4,1,0.973711180525134,2017-04-30
"401",74,4,1,0.71616392726316,2017-05-01
"402",75,4,1,0.883056569669494,2017-05-02
"403",76,4,1,0.950502540285966,2017-05-03
"404",77,4,1,0.710946536163769,2017-05-04
"405",78,4,1,0,2017-05-05
"406",79,4,1,0.412080478571433,2017-05-06
"407",80,4,1,0.202822932609938,2017-05-07
"408",81,4,1,0.926493900939633,2017-05-08
"409",82,4,1,0.738112285946123,2017-05-09
"410",83,4,1,0.623598331458751,2017-05-10
"411",84,4,1,0.871565760124195,2017-05-11
"412",85,4,1,0.986973189152498,2017-05-12
"413",86,4,1,0.776300508776788,2017-05-13
"414",87,4,1,0.694701965799537,2017-05-14
"415",88,4,1,0.352264992719062,2017-05-15
"416",89,4,1,0.0866658962204404,2017-05-16
"417",90,4,1,0.0191781935875383,2017-05-17
"418",91,4,1,0.280241608803893,2017-05-18
"419",92,4,1,0.925659214037621,2017-05-19
"420",93,4,1,0.761942594557437,2017-05-20
"421",94,4,1,0.0660067633761662,2017-05-21
"422",95,4,1,0.197520881832539,2017-05-22
"423",96,4,1,0.546523517119512,2017-05-23
"424",97,4,1,0.476828892779673,2017-05-24
"425",98,4,1,0.654596767558223,2017-05-25
"426",99,4,1,0.76055778195232,2017-05-26
"427",100,4,1,0.660869770390118,2017-05-27
"428",101,4,1,0.638346881798467,2017-05-28
"429",102,4,1,0.58307203527704,2017-05-29
"430",103,4,1,0.840500579074151,2017-05-30
"431",104,4,1,0.8287532848414,2017-05-31
"432",105,4,1,0.516354335707015,2017-06-01
"433",106,4,1,0.337429186406056,2017-06-02
"434",107,4,1,0.821025082830879,2017-06-03
"435",108,4,1,0.193263445793483,2017-06-04
"436",109,4,1,0.570796123017668,2017-06-05
"437",1,5,1,0.485423524698054,2017-02-17
"438",2,5,1,0.411350459079648,2017-02-18
"439",3,5,1,0.9702013822587,2017-02-19
"440",4,5,1,0.999999999890405,2017-02-20
"441",5,5,1,0.863665424086095,2017-02-21
"442",6,5,1,0,2017-02-22
"443",7,5,1,0,2017-02-23
"444",8,5,1,0.00166346278778935,2017-02-24
"445",9,5,1,0.0403702055165703,2017-02-25
"446",10,5,1,0.152262024408543,2017-02-26
"447",11,5,1,0.630812241024735,2017-02-27
"448",12,5,1,0.962775421621412,2017-02-28
"449",13,5,1,0.847391169213244,2017-03-01
"450",14,5,1,0.107215115076899,2017-03-02
"451",15,5,1,0.496108345467194,2017-03-03
"452",16,5,1,0.389888415583949,2017-03-04
"453",17,5,1,0.995793604376343,2017-03-05
"454",18,5,1,0.36076685233625,2017-03-06
"455",19,5,1,0.0422235332619496,2017-03-07
"456",20,5,1,0.137660553432396,2017-03-08
"457",21,5,1,0.550990060108309,2017-03-09
"458",22,5,1,0,2017-03-10
"459",23,5,1,0.99999999987912,2017-03-11
"460",24,5,1,0.204336727061881,2017-03-12
"461",25,5,1,0.231787895131184,2017-03-13
"462",26,5,1,0.144442109370582,2017-03-14
"463",27,5,1,0.790148421914063,2017-03-15
"464",28,5,1,0.806170945277398,2017-03-16
"465",29,5,1,0.475550269924167,2017-03-17
"466",30,5,1,0.376514023474085,2017-03-18
